,Name,Team,FGM,FGA,1-19M,1-19A,20-29M,20-29A,30-39M,30-39A,40-49M,40-49A,50+M,50+A,1-19AV,20-29AV,30-39AV,40-49AV,50+AV,Total Added Value
17,Cole Smith,CIN,7,9,0,0,3,3,3,5,1,1,0,0,0.0,1.1219999999999999,-2.615,1.071,0.0,-0.4220000000000004
18,B.T. Potter,CLEM,18,23,0,0,5,5,5,8,6,7,2,3,0.0,1.870000000000001,-3.5839999999999996,4.497,1.7489999999999997,4.532000000000001
19,Marshall Meeder,CMU,8,8,0,0,4,4,0,0,2,2,2,2,0.0,1.4960000000000004,0.0,2.142,3.166,6.804
20,Evan Price,COLO,5,6,1,1,0,0,2,2,2,3,0,0,0.0,0.0,1.354,0.21300000000000008,0.0,1.5670000000000002
21,Clayton Harris,CONN,10,16,0,0,2,3,4,4,4,6,0,3,0.0,-1.8780000000000001,2.708,0.42600000000000016,-4.251,-2.995
22,Robert Liss,CSU,4,7,0,0,2,3,0,0,2,4,0,0,0.0,-1.8780000000000001,0.0,-1.7160000000000002,0.0,-3.5940000000000003
23,Andre Szmyt,CUSE,9,11,0,0,3,4,2,2,4,4,0,1,0.0,-1.5039999999999996,1.354,4.284,-1.417,2.7170000000000005
24,Charlie Ham,DUKE,13,15,0,0,5,6,5,7,3,4,0,0,0.0,-0.7560000000000002,-1.2609999999999992,1.2839999999999998,0.0,-0.7329999999999997
25,Jake Verity,ECU,14,21,0,0,4,5,5,8,5,7,0,1,0.0,-1.129999999999999,-3.5839999999999996,1.4969999999999999,-1.417,-4.633999999999999
26,Chad Ryland,EMU,11,13,0,0,5,5,4,4,1,1,1,3,0.0,1.870000000000001,2.708,1.071,-1.2510000000000003,4.398000000000001
27,Vladimir Rivas,FAU,8,10,0,0,3,3,1,1,4,6,0,0,0.0,1.1219999999999999,0.677,0.42600000000000016,0.0,2.225
28,Evan McPherson,FLOR,15,19,0,0,3,3,6,6,2,4,4,6,0.0,1.1219999999999999,4.062000000000001,-1.7160000000000002,3.4979999999999993,6.966
29,Jude Kelley,GT,1,5,0,0,0,2,1,3,0,1,0,0,0.0,-5.252,-3.9689999999999994,-1.929,0.0,-11.15
30,Matthew Shipley,HAW,8,14,0,0,4,4,2,3,2,7,0,0,0.0,1.4960000000000004,-0.9689999999999994,-7.503,0.0,-6.975999999999999
31,Dalton Witherspoon,HOUS,8,10,0,0,4,4,1,2,2,3,1,1,0.0,1.4960000000000004,-1.646,0.21300000000000008,1.583,1.6460000000000006
32,James McCourt,ILL,6,10,0,0,4,4,1,2,1,2,0,2,0.0,1.4960000000000004,-1.646,-0.8580000000000001,-2.834,-3.8419999999999996
33,Charles Campbell,IND,8,9,0,0,2,2,3,3,2,3,1,1,0.0,0.7480000000000002,2.0310000000000006,0.21300000000000008,1.583,4.575000000000001
34,Keith Duncan,IOWA,14,18,0,0,4,4,5,6,5,5,0,3,0.0,1.4960000000000004,1.0620000000000012,5.355,-4.251,3.6620000000000017
35,Connor Assalley,ISU,11,17,0,0,5,6,4,5,2,6,0,0,0.0,-0.7560000000000002,0.3849999999999998,-5.574,0.0,-5.945
36,Matthew Trickett,KENT,4,6,0,0,2,2,2,2,0,2,0,0,0.0,0.7480000000000002,1.354,-3.858,0.0,-1.7559999999999998
37,Blake Lynch,KSU,12,17,0,0,6,6,3,3,1,4,2,4,0.0,2.2439999999999998,2.0310000000000006,-4.716,0.33199999999999985,-0.10899999999999999
38,Jacob Borcila,KU,6,9,0,0,1,1,1,2,4,5,0,1,0.0,0.3740000000000001,-1.646,2.3550000000000004,-1.417,-0.3339999999999994
39,Alex Barbir,LIB,10,17,0,0,6,7,1,4,1,5,2,2,0.0,-0.3819999999999979,-6.292,-6.645,3.166,-10.152999999999997
40,Cade York,LSU,18,21,0,0,4,4,5,6,3,4,6,7,0.0,1.4960000000000004,1.0620000000000012,1.2839999999999998,8.081,11.923000000000002
41,Jacob Barnes,LT,12,14,0,0,5,5,4,4,2,4,1,1,0.0,1.870000000000001,2.708,-1.7160000000000002,1.583,4.445000000000001
42,Joseph Petrino,MARY,4,7,0,0,0,1,3,3,0,0,1,3,0.0,-2.626,2.0310000000000006,0.0,-1.2510000000000003,-1.8459999999999996
43,Riley Patterson,MEM,15,22,0,0,4,4,3,3,5,7,3,8,0.0,1.4960000000000004,2.0310000000000006,1.4969999999999999,-2.3360000000000003,2.6880000000000006
44,Jose Borregales,MIA,18,20,0,0,4,4,6,6,6,8,2,2,0.0,1.4960000000000004,4.062000000000001,2.5679999999999996,3.166,11.292000000000002
45,Luke Logan,MISS,4,6,0,0,3,3,1,1,0,2,0,0,0.0,1.1219999999999999,0.677,-3.858,0.0,-2.059
46,Harrison Mevis,MIZZ,17,20,1,1,7,7,4,5,2,3,3,4,0.0,2.618000000000002,0.3849999999999998,0.21300000000000008,3.332,6.548000000000002
47,Shane Ciucci,MRSH,7,10,0,0,5,5,1,2,1,3,0,0,0.0,1.870000000000001,-1.646,-2.787,0.0,-2.562999999999999
48,Brandon Ruiz,MSST,10,12,0,0,4,4,2,2,4,5,0,1,0.0,1.4960000000000004,1.354,2.3550000000000004,-1.417,3.788000000000001
49,Matt Coghlin,MSU,9,12,0,0,3,3,1,1,4,7,1,1,0.0,1.1219999999999999,0.677,-1.5030000000000001,1.583,1.8789999999999998
50,Crews Holt,MTSU,7,13,0,0,3,3,0,2,4,5,0,3,0.0,1.1219999999999999,-4.646,2.3550000000000004,-4.251,-5.42
51,Bijan Nichols,NAVY,6,10,0,0,0,0,3,4,2,4,1,2,0.0,0.0,-0.2919999999999998,-1.7160000000000002,0.16599999999999993,-1.842
52,Christopher Dunn,NCST,12,15,0,0,1,1,7,9,2,2,2,3,0.0,0.3740000000000001,0.09299999999999997,2.142,1.7489999999999997,4.358
53,Jonathan Doerer,ND,15,22,0,0,6,10,5,8,3,8,1,3,0.0,-8.259999999999998,-3.5839999999999996,-6.432,-1.2510000000000003,-19.526999999999997
54,Connor Culp,NEB,13,15,0,0,4,4,8,10,1,1,0,0,0.0,1.4960000000000004,0.7699999999999996,1.071,0.0,3.3369999999999997
55,Brandon Talton,NEV,15,18,0,0,6,7,6,7,3,3,0,1,0.0,-0.3819999999999979,1.7390000000000008,3.213,-1.417,3.153000000000003
56,George Steinkamp,NM,6,11,0,0,3,3,0,1,3,5,0,2,0.0,1.1219999999999999,-2.323,-0.6449999999999996,-2.834,-4.68
57,Charlie Kuhbander,NW,9,12,0,0,1,1,2,2,6,10,0,0,0.0,0.3740000000000001,1.354,-1.2899999999999991,0.0,0.43800000000000106
58,Tristan Vanderberg,OHIO,2,6,0,0,0,2,1,1,1,3,0,0,0.0,-5.252,0.677,-2.787,0.0,-7.361999999999999
59,Gabe Brkic,OKLA,18,24,2,2,4,4,5,7,3,5,4,6,0.0,1.4960000000000004,-1.2609999999999992,-0.6449999999999996,3.4979999999999993,3.088000000000001
60,Alex Hale,OKST,13,14,1,1,4,6,5,9,3,4,0,0,0.0,-3.7560000000000002,-5.907,1.2839999999999998,0.0,-8.379000000000001
61,Everett Hayes,ORST,5,7,0,0,1,1,3,3,1,2,0,1,0.0,0.3740000000000001,2.0310000000000006,-0.8580000000000001,-1.417,0.13000000000000056
62,Blake Haubeil,OSU,5,7,0,0,2,4,1,1,2,5,0,0,0.0,-4.504,0.677,-3.6449999999999996,0.0,-7.4719999999999995
63,Jake Pinegar,PENN,9,13,0,0,4,5,4,5,1,3,0,0,0.0,-1.129999999999999,0.3849999999999998,-2.787,0.0,-3.531999999999999
64,Alex Kessman,PITT,23,29,1,1,8,8,5,6,5,9,4,5,0.0,2.992000000000001,1.0620000000000012,-2.3610000000000007,4.915,6.608000000000001
65,J.D. Dellinger,PUR,7,9,0,0,3,4,3,6,1,1,0,0,0.0,-1.5039999999999996,-4.937999999999999,1.071,0.0,-5.370999999999999
66,Collin Riccitelli,RICE,9,12,0,0,1,2,3,3,5,7,0,0,0.0,-2.252,2.0310000000000006,1.4969999999999999,0.0,1.2760000000000007
67,Valentino Ambrosio,RUTG,9,11,0,0,3,3,3,4,3,4,0,0,0.0,1.1219999999999999,-0.2919999999999998,1.2839999999999998,0.0,2.114
68,Parker White,SCAR,11,19,0,0,0,0,3,5,8,10,0,4,0.0,0.0,-2.615,4.710000000000001,-5.668,-3.5729999999999995
